DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,Country code,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,ER_2010,ER_2011,ER_2012,ER_2013,ER_2014,ER_2015,ER_2016,ER_2017,ER_2018,ER_2019,ER_2020,ER_2021,ER_2022,ER_2023,ER_2024,ER_2025
IMF.STA:ER(4.0.1),JOR.XDC_USD.PA_RT.A,OBS_VALUE,Jordan,JOR,Domestic currency per US Dollar,Period average,Annual,Units,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,
IMF.STA:ER(4.0.1),BRA.XDC_USD.PA_RT.A,OBS_VALUE,Brazil,BRA,Domestic currency per US Dollar,Period average,Annual,Units,1.759226711,1.672828755,1.953068611,2.156089151,2.352951963,3.326904383,3.491313422,3.191389446,3.653825361,3.944471097,5.155178788,5.39440079,5.163970291,4.994379763,5.388934906,
IMF.STA:ER(4.0.1),KWT.XDC_USD.PA_RT.A,OBS_VALUE,Kuwait,KWT,Domestic currency per US Dollar,Period average,Annual,Units,0.286606592,0.275978944,0.279935558,0.283589442,0.284567142,0.300852025,0.302137441,0.303349758,0.301956494,0.303611163,0.306233122,0.301643111,0.306250154,0.307185351,0.306690649,
IMF.STA:ER(4.0.1),BGR.XDC_USD.PA_RT.A,OBS_VALUE,Bulgaria,BGR,Domestic currency per US Dollar,Period average,Annual,Units,1.477391667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.768041667,1.735458333,1.657041667,1.747041667,1.716333333,1.653775,1.860141667,1.808966667,1.807841667,
IMF.STA:ER(4.0.1),AGO.XDC_USD.PA_RT.A,OBS_VALUE,Angola,AGO,Domestic currency per US Dollar,Period average,Annual,Units,91.90572034,93.93475,95.46795542,96.51827948,98.30241686,120.0607017,163.6564341,165.9159507,252.8557477,364.825805,578.2587803,631.4419555,460.5675116,685.0202378,869.8461896,
IMF.STA:ER(4.0.1),ARM.XDC_USD.PA_RT.A,OBS_VALUE,"Armenia, Republic of",ARM,Domestic currency per US Dollar,Period average,Annual,Units,373.6604667,372.5008824,401.7639756,409.6257493,415.9197892,477.9183066,480.4881508,482.7163938,482.9879466,480.4451288,489.0088586,503.769675,435.6661797,392.4763022,392.7295514,
IMF.STA:ER(4.0.1),ATG.XDC_USD.PA_RT.A,OBS_VALUE,Antigua and Barbuda,ATG,Domestic currency per US Dollar,Period average,Annual,Units,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
IMF.STA:ER(4.0.1),GGY.XDC_USD.PA_RT.A,OBS_VALUE,Guernsey,#N/A,Domestic currency per US Dollar,Period average,Annual,Units,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581,
IMF.STA:ER(4.0.1),GNB.XDC_USD.PA_RT.A,OBS_VALUE,Guinea-Bissau,GNB,Domestic currency per US Dollar,Period average,Annual,Units,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
IMF.STA:ER(4.0.1),MRT.XDC_USD.PA_RT.A,OBS_VALUE,"Mauritania, Islamic Republic of",MRT,Domestic currency per US Dollar,Period average,Annual,Units,27.58941667,28.11183333,29.662,30.06816667,30.2725,32.46716667,35.23708333,35.79441667,35.6775,36.69083333,37.18916667,36.06333333,36.935,36.48916667,,
IMF.STA:ER(4.0.1),FSM.XDC_USD.PA_RT.A,OBS_VALUE,"Micronesia, Federated States of",FSM,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),ABW.XDC_USD.PA_RT.A,OBS_VALUE,"Aruba, Kingdom of the Netherlands",ABW,Domestic currency per US Dollar,Period average,Annual,Units,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,
IMF.STA:ER(4.0.1),JPN.XDC_USD.PA_RT.A,OBS_VALUE,Japan,JPN,Domestic currency per US Dollar,Period average,Annual,Units,87.779875,79.80701983,79.79045542,97.59565828,105.944781,121.0440257,108.7929,112.1661411,110.4231793,109.0096659,106.7745823,109.7543238,131.4981404,140.4911001,151.3662913,
IMF.STA:ER(4.0.1),MSR.XDC_USD.PA_RT.A,OBS_VALUE,"Montserrat, United Kingdom-British Overseas Territory",#N/A,Domestic currency per US Dollar,Period average,Annual,Units,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
IMF.STA:ER(4.0.1),USA.XDC_USD.PA_RT.A,OBS_VALUE,United States,USA,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),ISR.XDC_USD.PA_RT.A,OBS_VALUE,Israel,ISR,Domestic currency per US Dollar,Period average,Annual,Units,3.738975,3.578129306,3.855921825,3.610758333,3.577925,3.886833333,3.840566667,3.599555548,3.590558127,3.564527347,3.442405852,3.230198323,3.359614402,3.667374716,3.69971965,
IMF.STA:ER(4.0.1),LCA.XDC_USD.PA_RT.A,OBS_VALUE,St. Lucia,LCA,Domestic currency per US Dollar,Period average,Annual,Units,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
